session_id,user_id,session_number,transcript,csi_score,acoustic_features,temporal_features,linguistic_features,label
27,3,6,"Hello, this is my first recording, this should work normally.",84,"{'mfcc_0_mean': -340.306183, 'mfcc_0_var': 3116.90625, 'mfcc_1_mean': 104.816429, 'mfcc_1_var': 799.433899, 'mfcc_2_mean': -63.136448, 'mfcc_2_var': 896.244629, 'mfcc_3_mean': 28.739042, 'mfcc_3_var': 1259.92041, 'mfcc_4_mean': -35.72826, 'mfcc_4_var': 669.887024, 'mfcc_5_mean': -42.513653, 'mfcc_5_var': 288.332581, 'mfcc_6_mean': -27.548553, 'mfcc_6_var': 374.775574, 'mfcc_7_mean': -29.897985, 'mfcc_7_var': 156.319046, 'mfcc_8_mean': -24.484226, 'mfcc_8_var': 189.608795, 'mfcc_9_mean': -44.638882, 'mfcc_9_var': 363.296753, 'mfcc_10_mean': -18.388973, 'mfcc_10_var': 186.644135, 'mfcc_11_mean': -21.14773, 'mfcc_11_var': 168.408478, 'mfcc_12_mean': -14.10155, 'mfcc_12_var': 110.387939, 'mfcc_variance_avg': 660.012695, 'pitch_mean': 172.857787, 'pitch_var': 1565.197046, 'pitch_range': 177.683217, 'voiced_fraction': 0.915789, 'jitter_local': 0.019577, 'jitter_abs': 0.000117, 'energy_mean': 0.039291, 'energy_var': 0.001289, 'energy_range': 0.162383, 'shimmer_local': 0.187464, 'shimmer_abs': 0.007366, 'spectral_centroid_mean': 1312.946247, 'spectral_centroid_var': 198027.482218, 'speech_rate': 10.970745, 'syllable_count': 33, 'duration_sec': 3.008}","{'response_latency': 0.096, 'rhythm_consistency': 0.375042, 'pause_variability': 0.180133, 'speed_variability': 6.51396, 'mean_pause_duration': 0.136, 'max_pause_duration': 0.448, 'pause_count': 4}","{'sentence_length_mean': 10.0, 'lexical_diversity': 0.9, 'avg_word_length': 4.9, 'filler_ratio': 0.0, 'content_word_ratio': 0.5, 'syntactic_complexity': 0.0, 'vocabulary_richness': 4.8449, 'word_count': 10, 'sentence_count': 1}",high
28,3,7,"Test one, let's see if this is working.",81,"{'mfcc_0_mean': -363.45874, 'mfcc_0_var': 3299.800293, 'mfcc_1_mean': 108.311394, 'mfcc_1_var': 981.196228, 'mfcc_2_mean': -48.303478, 'mfcc_2_var': 557.051086, 'mfcc_3_mean': 23.423531, 'mfcc_3_var': 820.774597, 'mfcc_4_mean': -42.367275, 'mfcc_4_var': 665.5, 'mfcc_5_mean': -31.120808, 'mfcc_5_var': 216.070328, 'mfcc_6_mean': -24.831205, 'mfcc_6_var': 336.571899, 'mfcc_7_mean': -36.434265, 'mfcc_7_var': 336.815308, 'mfcc_8_mean': -27.224081, 'mfcc_8_var': 175.062057, 'mfcc_9_mean': -42.091446, 'mfcc_9_var': 406.815216, 'mfcc_10_mean': -22.175659, 'mfcc_10_var': 165.505844, 'mfcc_11_mean': -14.024759, 'mfcc_11_var': 172.602234, 'mfcc_12_mean': -16.421331, 'mfcc_12_var': 121.892563, 'mfcc_variance_avg': 635.050537, 'pitch_mean': 160.545936, 'pitch_var': 1026.255991, 'pitch_range': 104.698503, 'voiced_fraction': 0.825397, 'jitter_local': 0.033895, 'jitter_abs': 0.000222, 'energy_mean': 0.033147, 'energy_var': 0.000676, 'energy_range': 0.107882, 'shimmer_local': 0.244063, 'shimmer_abs': 0.00809, 'spectral_centroid_mean': 1230.445084, 'spectral_centroid_var': 271054.085909, 'speech_rate': 8.0, 'syllable_count': 16, 'duration_sec': 2.0}","{'response_latency': 0.576, 'rhythm_consistency': 0.2, 'pause_variability': 0.0, 'speed_variability': 1.5625, 'mean_pause_duration': 0.064, 'max_pause_duration': 0.064, 'pause_count': 1}","{'sentence_length_mean': 8.0, 'lexical_diversity': 1.0, 'avg_word_length': 3.5, 'filler_ratio': 0.0, 'content_word_ratio': 0.625, 'syntactic_complexity': 1.0, 'vocabulary_richness': 4.2809, 'word_count': 8, 'sentence_count': 1}",high
29,3,8,"test 2, let's see if this is working",80,"{'mfcc_0_mean': -379.52182, 'mfcc_0_var': 2018.971802, 'mfcc_1_mean': 110.94474, 'mfcc_1_var': 804.092773, 'mfcc_2_mean': -43.213387, 'mfcc_2_var': 507.305328, 'mfcc_3_mean': 22.638502, 'mfcc_3_var': 1230.32019, 'mfcc_4_mean': -33.996861, 'mfcc_4_var': 324.711487, 'mfcc_5_mean': -41.622143, 'mfcc_5_var': 284.770752, 'mfcc_6_mean': -33.084335, 'mfcc_6_var': 212.26712, 'mfcc_7_mean': -29.587063, 'mfcc_7_var': 149.092148, 'mfcc_8_mean': -23.369686, 'mfcc_8_var': 120.096138, 'mfcc_9_mean': -45.936909, 'mfcc_9_var': 408.878204, 'mfcc_10_mean': -22.005909, 'mfcc_10_var': 146.558731, 'mfcc_11_mean': -14.56109, 'mfcc_11_var': 85.338737, 'mfcc_12_mean': -16.322897, 'mfcc_12_var': 92.273315, 'mfcc_variance_avg': 491.128967, 'pitch_mean': 174.380875, 'pitch_var': 344.871719, 'pitch_range': 65.863395, 'voiced_fraction': 0.892857, 'jitter_local': 0.031709, 'jitter_abs': 0.000184, 'energy_mean': 0.035586, 'energy_var': 0.00074, 'energy_range': 0.10362, 'shimmer_local': 0.23582, 'shimmer_abs': 0.008392, 'spectral_centroid_mean': 1109.258345, 'spectral_centroid_var': 168756.225316, 'speech_rate': 5.681818, 'syllable_count': 10, 'duration_sec': 1.76}","{'response_latency': 0.896, 'rhythm_consistency': 0.366101, 'pause_variability': 0.032, 'speed_variability': 1.252799, 'mean_pause_duration': 0.096, 'max_pause_duration': 0.128, 'pause_count': 2}","{'sentence_length_mean': 7.0, 'lexical_diversity': 1.0, 'avg_word_length': 3.5714, 'filler_ratio': 0.0, 'content_word_ratio': 0.5714, 'syntactic_complexity': 1.0, 'vocabulary_richness': 4.0245, 'word_count': 7, 'sentence_count': 1}",high
30,3,9,I did not ask for mic but okay.,79,"{'mfcc_0_mean': -376.188965, 'mfcc_0_var': 4102.674316, 'mfcc_1_mean': 139.335373, 'mfcc_1_var': 230.975739, 'mfcc_2_mean': -87.210022, 'mfcc_2_var': 449.247498, 'mfcc_3_mean': 4.024338, 'mfcc_3_var': 674.511597, 'mfcc_4_mean': -43.394264, 'mfcc_4_var': 503.881683, 'mfcc_5_mean': -44.858517, 'mfcc_5_var': 326.567261, 'mfcc_6_mean': -30.254431, 'mfcc_6_var': 167.097198, 'mfcc_7_mean': -39.050831, 'mfcc_7_var': 121.470871, 'mfcc_8_mean': -23.099007, 'mfcc_8_var': 93.319771, 'mfcc_9_mean': -33.730587, 'mfcc_9_var': 527.403992, 'mfcc_10_mean': -17.367689, 'mfcc_10_var': 100.297073, 'mfcc_11_mean': -16.659023, 'mfcc_11_var': 106.111328, 'mfcc_12_mean': -18.499262, 'mfcc_12_var': 119.952278, 'mfcc_variance_avg': 578.731567, 'pitch_mean': 179.873967, 'pitch_var': 4656.664618, 'pitch_range': 262.182058, 'voiced_fraction': 0.478261, 'jitter_local': 0.04532, 'jitter_abs': 0.000274, 'energy_mean': 0.02308, 'energy_var': 0.000338, 'energy_range': 0.067679, 'shimmer_local': 0.151757, 'shimmer_abs': 0.003503, 'spectral_centroid_mean': 1131.859552, 'spectral_centroid_var': 45517.420133, 'speech_rate': 5.702555, 'syllable_count': 25, 'duration_sec': 4.384}","{'response_latency': 0.032, 'rhythm_consistency': 1.251949, 'pause_variability': 0.034871, 'speed_variability': 25.137442, 'mean_pause_duration': 0.136, 'max_pause_duration': 0.192, 'pause_count': 4}","{'sentence_length_mean': 8.0, 'lexical_diversity': 1.0, 'avg_word_length': 2.875, 'filler_ratio': 0.0, 'content_word_ratio': 0.375, 'syntactic_complexity': 1.0, 'vocabulary_richness': 4.2809, 'word_count': 8, 'sentence_count': 1}",medium
31,1,15,"Test one, test one.",79,"{'mfcc_0_mean': -306.051117, 'mfcc_0_var': 5193.549805, 'mfcc_1_mean': 115.583305, 'mfcc_1_var': 794.125305, 'mfcc_2_mean': -76.950264, 'mfcc_2_var': 1024.898315, 'mfcc_3_mean': 20.305031, 'mfcc_3_var': 708.187988, 'mfcc_4_mean': -45.778984, 'mfcc_4_var': 946.9729, 'mfcc_5_mean': -38.380459, 'mfcc_5_var': 421.314453, 'mfcc_6_mean': -26.663633, 'mfcc_6_var': 299.752319, 'mfcc_7_mean': -30.961546, 'mfcc_7_var': 268.772217, 'mfcc_8_mean': -21.171719, 'mfcc_8_var': 174.978058, 'mfcc_9_mean': -43.354301, 'mfcc_9_var': 332.911621, 'mfcc_10_mean': -20.924452, 'mfcc_10_var': 141.233704, 'mfcc_11_mean': -16.852121, 'mfcc_11_var': 57.183727, 'mfcc_12_mean': -15.37201, 'mfcc_12_var': 119.164742, 'mfcc_variance_avg': 806.388062, 'pitch_mean': 189.908642, 'pitch_var': 315.993364, 'pitch_range': 100.510037, 'voiced_fraction': 0.914894, 'jitter_local': 0.021183, 'jitter_abs': 0.000112, 'energy_mean': 0.055488, 'energy_var': 0.000962, 'energy_range': 0.107511, 'shimmer_local': 0.235645, 'shimmer_abs': 0.013076, 'spectral_centroid_mean': 1257.735571, 'spectral_centroid_var': 169909.657819, 'speech_rate': 8.831522, 'syllable_count': 13, 'duration_sec': 1.472}","{'response_latency': 0.064, 'rhythm_consistency': 0.672, 'pause_variability': 0.0, 'speed_variability': 0.0, 'mean_pause_duration': 0.256, 'max_pause_duration': 0.256, 'pause_count': 1}","{'sentence_length_mean': 4.0, 'lexical_diversity': 0.5, 'avg_word_length': 3.5, 'filler_ratio': 0.0, 'content_word_ratio': 1.0, 'syntactic_complexity': 0.0, 'vocabulary_richness': 3.4229, 'word_count': 4, 'sentence_count': 1}",medium
32,1,16,"Test 2, test 2.",76,"{'mfcc_0_mean': -335.706665, 'mfcc_0_var': 4346.402344, 'mfcc_1_mean': 114.794807, 'mfcc_1_var': 875.318481, 'mfcc_2_mean': -62.658504, 'mfcc_2_var': 1084.235474, 'mfcc_3_mean': 16.128532, 'mfcc_3_var': 845.983643, 'mfcc_4_mean': -43.814751, 'mfcc_4_var': 597.975647, 'mfcc_5_mean': -48.008987, 'mfcc_5_var': 315.390625, 'mfcc_6_mean': -33.726135, 'mfcc_6_var': 135.615341, 'mfcc_7_mean': -26.634516, 'mfcc_7_var': 181.278, 'mfcc_8_mean': -25.050053, 'mfcc_8_var': 175.748383, 'mfcc_9_mean': -45.861115, 'mfcc_9_var': 421.21991, 'mfcc_10_mean': -18.318857, 'mfcc_10_var': 254.085693, 'mfcc_11_mean': -10.969872, 'mfcc_11_var': 126.009155, 'mfcc_12_mean': -7.164907, 'mfcc_12_var': 81.955521, 'mfcc_variance_avg': 726.247437, 'pitch_mean': 282.845165, 'pitch_var': 13452.945421, 'pitch_range': 316.786994, 'voiced_fraction': 0.690909, 'jitter_local': 0.066817, 'jitter_abs': 0.000277, 'energy_mean': 0.047793, 'energy_var': 0.001189, 'energy_range': 0.112611, 'shimmer_local': 0.254001, 'shimmer_abs': 0.012139, 'spectral_centroid_mean': 1190.622614, 'spectral_centroid_var': 182579.396656, 'speech_rate': 8.101852, 'syllable_count': 14, 'duration_sec': 1.728}","{'response_latency': 0.256, 'rhythm_consistency': 0.384, 'pause_variability': 0.0, 'speed_variability': 0.025682, 'mean_pause_duration': 0.032, 'max_pause_duration': 0.032, 'pause_count': 1}","{'sentence_length_mean': 2.0, 'lexical_diversity': 0.5, 'avg_word_length': 4.0, 'filler_ratio': 0.0, 'content_word_ratio': 1.0, 'syntactic_complexity': 0.0, 'vocabulary_richness': 2.0, 'word_count': 2, 'sentence_count': 1}",low
33,1,17,"That's three, three, one.",77,"{'mfcc_0_mean': -332.218719, 'mfcc_0_var': 1903.719238, 'mfcc_1_mean': 84.810722, 'mfcc_1_var': 841.00177, 'mfcc_2_mean': -62.791569, 'mfcc_2_var': 776.087891, 'mfcc_3_mean': 59.722366, 'mfcc_3_var': 820.736938, 'mfcc_4_mean': -36.644257, 'mfcc_4_var': 392.052429, 'mfcc_5_mean': -60.91943, 'mfcc_5_var': 265.058502, 'mfcc_6_mean': -21.037294, 'mfcc_6_var': 244.083511, 'mfcc_7_mean': -18.86408, 'mfcc_7_var': 160.861038, 'mfcc_8_mean': -34.552742, 'mfcc_8_var': 259.731049, 'mfcc_9_mean': -55.504982, 'mfcc_9_var': 513.817688, 'mfcc_10_mean': -16.94976, 'mfcc_10_var': 128.723694, 'mfcc_11_mean': -16.670378, 'mfcc_11_var': 165.994034, 'mfcc_12_mean': -10.065614, 'mfcc_12_var': 104.681252, 'mfcc_variance_avg': 505.888397, 'pitch_mean': 241.300311, 'pitch_var': 8903.500193, 'pitch_range': 224.616408, 'voiced_fraction': 0.840909, 'jitter_local': 0.039298, 'jitter_abs': 0.000185, 'energy_mean': 0.04924, 'energy_var': 0.000888, 'energy_range': 0.117643, 'shimmer_local': 0.223371, 'shimmer_abs': 0.010999, 'spectral_centroid_mean': 1515.294751, 'spectral_centroid_var': 179556.532099, 'speech_rate': 8.72093, 'syllable_count': 12, 'duration_sec': 1.376}","{'response_latency': 0.448, 'rhythm_consistency': 0.378028, 'pause_variability': 0.016, 'speed_variability': 2.215073, 'mean_pause_duration': 0.048, 'max_pause_duration': 0.064, 'pause_count': 2}","{'sentence_length_mean': 4.0, 'lexical_diversity': 0.75, 'avg_word_length': 4.25, 'filler_ratio': 0.0, 'content_word_ratio': 0.75, 'syntactic_complexity': 0.0, 'vocabulary_richness': 3.1506, 'word_count': 4, 'sentence_count': 1}",medium
34,3,10,"Elsin, viljú bakli bíleraða gíkarriki?",78,"{'mfcc_0_mean': -365.806824, 'mfcc_0_var': 5464.01123, 'mfcc_1_mean': 120.131836, 'mfcc_1_var': 1176.685669, 'mfcc_2_mean': -43.785633, 'mfcc_2_var': 1494.411499, 'mfcc_3_mean': 11.443099, 'mfcc_3_var': 1123.047729, 'mfcc_4_mean': -17.395975, 'mfcc_4_var': 236.330688, 'mfcc_5_mean': -36.196293, 'mfcc_5_var': 160.825119, 'mfcc_6_mean': -26.088749, 'mfcc_6_var': 326.176483, 'mfcc_7_mean': -47.204742, 'mfcc_7_var': 311.40036, 'mfcc_8_mean': -24.853777, 'mfcc_8_var': 181.647797, 'mfcc_9_mean': -19.494802, 'mfcc_9_var': 164.908813, 'mfcc_10_mean': -37.229599, 'mfcc_10_var': 152.198318, 'mfcc_11_mean': -19.822872, 'mfcc_11_var': 84.493546, 'mfcc_12_mean': -7.760437, 'mfcc_12_var': 92.398293, 'mfcc_variance_avg': 843.733459, 'pitch_mean': 191.138715, 'pitch_var': 4382.346819, 'pitch_range': 210.783462, 'voiced_fraction': 0.842105, 'jitter_local': 0.053733, 'jitter_abs': 0.000315, 'energy_mean': 0.043553, 'energy_var': 0.001092, 'energy_range': 0.130563, 'shimmer_local': 0.200089, 'shimmer_abs': 0.008715, 'spectral_centroid_mean': 993.827392, 'spectral_centroid_var': 56610.178518, 'speech_rate': 8.333333, 'syllable_count': 20, 'duration_sec': 2.4}","{'response_latency': 0.48, 'rhythm_consistency': 0.225329, 'pause_variability': 0.148723, 'speed_variability': 19.635844, 'mean_pause_duration': 0.16, 'max_pause_duration': 0.448, 'pause_count': 5}","{'sentence_length_mean': 5.0, 'lexical_diversity': 1.0, 'avg_word_length': 6.4, 'filler_ratio': 0.0, 'content_word_ratio': 1.0, 'syntactic_complexity': 0.0, 'vocabulary_richness': 3.3881, 'word_count': 5, 'sentence_count': 1}",medium
35,3,11,Test 2 recording.,78,"{'mfcc_0_mean': -340.289093, 'mfcc_0_var': 4554.936523, 'mfcc_1_mean': 119.503677, 'mfcc_1_var': 829.941101, 'mfcc_2_mean': -74.883583, 'mfcc_2_var': 1097.477661, 'mfcc_3_mean': 17.762814, 'mfcc_3_var': 1113.175537, 'mfcc_4_mean': -34.323658, 'mfcc_4_var': 557.607727, 'mfcc_5_mean': -40.923977, 'mfcc_5_var': 360.059631, 'mfcc_6_mean': -22.451385, 'mfcc_6_var': 204.165543, 'mfcc_7_mean': -29.219961, 'mfcc_7_var': 335.379272, 'mfcc_8_mean': -32.060146, 'mfcc_8_var': 218.642181, 'mfcc_9_mean': -45.615314, 'mfcc_9_var': 599.04718, 'mfcc_10_mean': -14.434223, 'mfcc_10_var': 168.429214, 'mfcc_11_mean': -15.197104, 'mfcc_11_var': 57.838528, 'mfcc_12_mean': -21.648859, 'mfcc_12_var': 211.073364, 'mfcc_variance_avg': 792.905701, 'pitch_mean': 161.050467, 'pitch_var': 390.672125, 'pitch_range': 85.352633, 'voiced_fraction': 0.734694, 'jitter_local': 0.038969, 'jitter_abs': 0.000246, 'energy_mean': 0.042818, 'energy_var': 0.000939, 'energy_range': 0.092827, 'shimmer_local': 0.222992, 'shimmer_abs': 0.009548, 'spectral_centroid_mean': 1250.925025, 'spectral_centroid_var': 175200.381073, 'speech_rate': 9.114583, 'syllable_count': 14, 'duration_sec': 1.536}","{'response_latency': 0.0, 'rhythm_consistency': 0.489506, 'pause_variability': 0.224, 'speed_variability': 0.001783, 'mean_pause_duration': 0.32, 'max_pause_duration': 0.544, 'pause_count': 2}","{'sentence_length_mean': 2.0, 'lexical_diversity': 1.0, 'avg_word_length': 6.5, 'filler_ratio': 0.0, 'content_word_ratio': 1.0, 'syntactic_complexity': 0.0, 'vocabulary_richness': 1.8501, 'word_count': 2, 'sentence_count': 1}",medium
36,3,12,It should not come 89.,80,"{'mfcc_0_mean': -331.099365, 'mfcc_0_var': 6311.554688, 'mfcc_1_mean': 132.025314, 'mfcc_1_var': 703.405823, 'mfcc_2_mean': -80.55925, 'mfcc_2_var': 1198.871704, 'mfcc_3_mean': 28.168242, 'mfcc_3_var': 1646.557251, 'mfcc_4_mean': -36.245388, 'mfcc_4_var': 436.709808, 'mfcc_5_mean': -45.196793, 'mfcc_5_var': 298.781494, 'mfcc_6_mean': -23.497101, 'mfcc_6_var': 301.230682, 'mfcc_7_mean': -41.637501, 'mfcc_7_var': 283.015137, 'mfcc_8_mean': -26.877048, 'mfcc_8_var': 255.514755, 'mfcc_9_mean': -26.265886, 'mfcc_9_var': 555.180359, 'mfcc_10_mean': -22.515644, 'mfcc_10_var': 174.372437, 'mfcc_11_mean': -25.799114, 'mfcc_11_var': 156.633621, 'mfcc_12_mean': -21.464443, 'mfcc_12_var': 191.673645, 'mfcc_variance_avg': 962.577087, 'pitch_mean': 130.698929, 'pitch_var': 155.26354, 'pitch_range': 57.795497, 'voiced_fraction': 0.298851, 'jitter_local': 0.046253, 'jitter_abs': 0.000358, 'energy_mean': 0.041919, 'energy_var': 0.001125, 'energy_range': 0.119073, 'shimmer_local': 0.170743, 'shimmer_abs': 0.007157, 'spectral_centroid_mean': 1194.322682, 'spectral_centroid_var': 97180.423156, 'speech_rate': 7.994186, 'syllable_count': 22, 'duration_sec': 2.752}","{'response_latency': 0.128, 'rhythm_consistency': 0.680517, 'pause_variability': 0.06034, 'speed_variability': 3.39722, 'mean_pause_duration': 0.074667, 'max_pause_duration': 0.16, 'pause_count': 3}","{'sentence_length_mean': 4.0, 'lexical_diversity': 1.0, 'avg_word_length': 3.75, 'filler_ratio': 0.0, 'content_word_ratio': 0.25, 'syntactic_complexity': 0.0, 'vocabulary_richness': 2.9808, 'word_count': 4, 'sentence_count': 1}",high
37,3,13,"Hello, this is Test 1.",80,"{'mfcc_0_mean': -303.150146, 'mfcc_0_var': 5898.285645, 'mfcc_1_mean': 126.695038, 'mfcc_1_var': 1001.023132, 'mfcc_2_mean': -76.663452, 'mfcc_2_var': 1474.61145, 'mfcc_3_mean': 23.039526, 'mfcc_3_var': 1220.031372, 'mfcc_4_mean': -38.115005, 'mfcc_4_var': 409.981537, 'mfcc_5_mean': -36.59203, 'mfcc_5_var': 218.888794, 'mfcc_6_mean': -33.418068, 'mfcc_6_var': 418.774902, 'mfcc_7_mean': -25.467991, 'mfcc_7_var': 177.806671, 'mfcc_8_mean': -24.654722, 'mfcc_8_var': 193.44696, 'mfcc_9_mean': -47.555172, 'mfcc_9_var': 494.995697, 'mfcc_10_mean': -19.927235, 'mfcc_10_var': 243.157501, 'mfcc_11_mean': -22.567587, 'mfcc_11_var': 179.543808, 'mfcc_12_mean': -7.836066, 'mfcc_12_var': 131.292038, 'mfcc_variance_avg': 927.833862, 'pitch_mean': 225.522135, 'pitch_var': 6246.407227, 'pitch_range': 223.806941, 'voiced_fraction': 0.825397, 'jitter_local': 0.036764, 'jitter_abs': 0.000183, 'energy_mean': 0.060047, 'energy_var': 0.001881, 'energy_range': 0.145866, 'shimmer_local': 0.199559, 'shimmer_abs': 0.011983, 'spectral_centroid_mean': 1229.168946, 'spectral_centroid_var': 165206.213603, 'speech_rate': 8.064516, 'syllable_count': 16, 'duration_sec': 1.984}","{'response_latency': 0.224, 'rhythm_consistency': 0.527029, 'pause_variability': 0.108779, 'speed_variability': 2.229206, 'mean_pause_duration': 0.138667, 'max_pause_duration': 0.288, 'pause_count': 3}","{'sentence_length_mean': 4.0, 'lexical_diversity': 1.0, 'avg_word_length': 3.75, 'filler_ratio': 0.0, 'content_word_ratio': 0.5, 'syntactic_complexity': 0.0, 'vocabulary_richness': 2.9808, 'word_count': 4, 'sentence_count': 1}",high
38,3,14,Test number 2 doesn't seem very happy but let's see if this works.,90,"{'mfcc_0_mean': -302.954254, 'mfcc_0_var': 3376.321777, 'mfcc_1_mean': 105.402512, 'mfcc_1_var': 929.697327, 'mfcc_2_mean': -64.995544, 'mfcc_2_var': 898.525635, 'mfcc_3_mean': 42.217194, 'mfcc_3_var': 1753.213989, 'mfcc_4_mean': -41.380085, 'mfcc_4_var': 488.460144, 'mfcc_5_mean': -43.092983, 'mfcc_5_var': 254.976913, 'mfcc_6_mean': -33.577267, 'mfcc_6_var': 246.297028, 'mfcc_7_mean': -35.843719, 'mfcc_7_var': 300.332642, 'mfcc_8_mean': -22.304186, 'mfcc_8_var': 268.571625, 'mfcc_9_mean': -49.649212, 'mfcc_9_var': 404.26001, 'mfcc_10_mean': -15.805085, 'mfcc_10_var': 296.96637, 'mfcc_11_mean': -17.808342, 'mfcc_11_var': 103.834244, 'mfcc_12_mean': -22.668344, 'mfcc_12_var': 177.349365, 'mfcc_variance_avg': 730.677429, 'pitch_mean': 161.066401, 'pitch_var': 290.628475, 'pitch_range': 68.857534, 'voiced_fraction': 0.801653, 'jitter_local': 0.022018, 'jitter_abs': 0.000138, 'energy_mean': 0.064769, 'energy_var': 0.001321, 'energy_range': 0.153875, 'shimmer_local': 0.191484, 'shimmer_abs': 0.012402, 'spectral_centroid_mean': 1319.262315, 'spectral_centroid_var': 133581.494835, 'speech_rate': 9.635417, 'syllable_count': 37, 'duration_sec': 3.84}","{'response_latency': 0.16, 'rhythm_consistency': 1.11496, 'pause_variability': 0.12068, 'speed_variability': 3.767295, 'mean_pause_duration': 0.117333, 'max_pause_duration': 0.288, 'pause_count': 3}","{'sentence_length_mean': 12.0, 'lexical_diversity': 1.0, 'avg_word_length': 3.9167, 'filler_ratio': 0.0, 'content_word_ratio': 0.5833, 'syntactic_complexity': 1.0, 'vocabulary_richness': 5.0564, 'word_count': 12, 'sentence_count': 1}",high
39,3,15,"Test 2 working, Test 3 now this should also work and give a nice low score",94,"{'mfcc_0_mean': -292.119751, 'mfcc_0_var': 2716.355713, 'mfcc_1_mean': 105.071503, 'mfcc_1_var': 962.227173, 'mfcc_2_mean': -71.912567, 'mfcc_2_var': 1461.066406, 'mfcc_3_mean': 23.654858, 'mfcc_3_var': 1648.588013, 'mfcc_4_mean': -40.634602, 'mfcc_4_var': 493.508423, 'mfcc_5_mean': -36.228775, 'mfcc_5_var': 383.064758, 'mfcc_6_mean': -20.787149, 'mfcc_6_var': 373.7435, 'mfcc_7_mean': -35.551483, 'mfcc_7_var': 221.793793, 'mfcc_8_mean': -19.393793, 'mfcc_8_var': 233.550049, 'mfcc_9_mean': -45.111195, 'mfcc_9_var': 372.537506, 'mfcc_10_mean': -22.697599, 'mfcc_10_var': 199.164917, 'mfcc_11_mean': -6.430318, 'mfcc_11_var': 115.341278, 'mfcc_12_mean': -20.065918, 'mfcc_12_var': 162.387695, 'mfcc_variance_avg': 718.717529, 'pitch_mean': 202.543578, 'pitch_var': 7141.21607, 'pitch_range': 251.217412, 'voiced_fraction': 0.776224, 'jitter_local': 0.037644, 'jitter_abs': 0.000209, 'energy_mean': 0.056638, 'energy_var': 0.001172, 'energy_range': 0.155462, 'shimmer_local': 0.217017, 'shimmer_abs': 0.012292, 'spectral_centroid_mean': 1345.932922, 'spectral_centroid_var': 193890.389934, 'speech_rate': 9.242958, 'syllable_count': 42, 'duration_sec': 4.544}","{'response_latency': 0.48, 'rhythm_consistency': 0.746286, 'pause_variability': 0.065892, 'speed_variability': 6.313141, 'mean_pause_duration': 0.1152, 'max_pause_duration': 0.224, 'pause_count': 5}","{'sentence_length_mean': 14.0, 'lexical_diversity': 0.9286, 'avg_word_length': 4.0, 'filler_ratio': 0.0, 'content_word_ratio': 0.6429, 'syntactic_complexity': 0.0, 'vocabulary_richness': 5.4612, 'word_count': 14, 'sentence_count': 1}",high
40,3,16,"Recording number 1, let's see how this goes.",88,"{'mfcc_0_mean': -328.697845, 'mfcc_0_var': 4401.968262, 'mfcc_1_mean': 114.147858, 'mfcc_1_var': 603.776001, 'mfcc_2_mean': -53.507927, 'mfcc_2_var': 1204.322998, 'mfcc_3_mean': 16.95858, 'mfcc_3_var': 1107.869019, 'mfcc_4_mean': -40.352367, 'mfcc_4_var': 665.651917, 'mfcc_5_mean': -45.623169, 'mfcc_5_var': 383.534332, 'mfcc_6_mean': -21.277452, 'mfcc_6_var': 340.75885, 'mfcc_7_mean': -22.662716, 'mfcc_7_var': 197.619064, 'mfcc_8_mean': -34.651691, 'mfcc_8_var': 180.429398, 'mfcc_9_mean': -45.07238, 'mfcc_9_var': 496.231873, 'mfcc_10_mean': -13.722224, 'mfcc_10_var': 149.766357, 'mfcc_11_mean': -19.909264, 'mfcc_11_var': 288.06427, 'mfcc_12_mean': -9.646728, 'mfcc_12_var': 207.522842, 'mfcc_variance_avg': 786.731873, 'pitch_mean': 164.951823, 'pitch_var': 632.520786, 'pitch_range': 83.844296, 'voiced_fraction': 0.811594, 'jitter_local': 0.026073, 'jitter_abs': 0.000162, 'energy_mean': 0.056051, 'energy_var': 0.001971, 'energy_range': 0.161815, 'shimmer_local': 0.165704, 'shimmer_abs': 0.009288, 'spectral_centroid_mean': 1177.986889, 'spectral_centroid_var': 119701.184586, 'speech_rate': 11.029412, 'syllable_count': 24, 'duration_sec': 2.176}","{'response_latency': 0.064, 'rhythm_consistency': 0.4098, 'pause_variability': 0.069128, 'speed_variability': 8.682679, 'mean_pause_duration': 0.128, 'max_pause_duration': 0.192, 'pause_count': 3}","{'sentence_length_mean': 7.0, 'lexical_diversity': 1.0, 'avg_word_length': 4.5714, 'filler_ratio': 0.0, 'content_word_ratio': 0.7143, 'syntactic_complexity': 1.0, 'vocabulary_richness': 4.0245, 'word_count': 7, 'sentence_count': 1}",high
